date,temp,hum,tempS,ph,OD
2022-09-15 20:30:00,10,88,11,6.89,10.92
2022-09-16 12:31:00,9,88,7,6.89,8.5
2022-09-16 19:31:00,9,88,7,7.89,8.5
2022-09-17 10:26:00,17,92,5,6.79,8.2
2022-09-17 11:26:00,17,92,7,6.79,14.5
2022-09-17 20:26:00,10,88,16,6.19,13.1
2022-09-18 09:27:00,5,88,10,7.89,10.3
2022-09-18 11:27:00,18,57,11,6.79,14.59
2022-09-18 23:27:00,5,88,15,6.78,14.1
2022-09-19 08:28:00,5,88,10,6.39,14.1
2022-09-19 22:28:00,8,88,13,6.69,13.9
2022-09-20 08:29:00,2,87,8,6.79,11.7
2022-09-20 22:29:00,7,88,15,6.69,11.5
2022-09-21 10:29:00,8,88,9,6.2,10.2
2022-09-21 12:29:00,28,44,11,7.69,12.6
2022-09-21 22:30:00,8,88,14,6.79,11.8
2022-09-22 07:30:00,7,88,11,6.69,11.4
2022-09-22 22:06:00,10,88,10,7.02,9.42
2022-09-24 00:04:00,5,88,16,6.1,12.7
2022-09-24 08:05:00,3,87,10,7.2,10.2
2022-09-24 20:36:00,9,88,17,6.32,9.3
2022-09-24 21:36:00,8,88,17,6.72,12.7
2022-09-25 10:36:00,18,93,10,6.12,9.48
2022-09-25 22:36:00,10,88,10,6.13,8.3
2022-09-25 23:36:00,10,88,20,6.34,11.59
2022-09-26 10:36:00,12,90,10,5.18,9.92
2022-09-26 20:36:00,10,88,10,6.43,9.27
2022-09-27 10:36:00,10,88,10,5.95,8.55
2022-09-27 11:36:00,36,26,10,5.13,12.43
2022-09-27 23:01:00,8,88,21,6.19,11.11
2022-09-28 10:12:00,13,91,14,6.88,8.44
2022-09-28 11:12:00,13,91,16,6.0,12.67
2022-09-28 22:12:00,10,88,25,6.78,10.06
2022-09-29 11:13:00,14,91,15,6.29,7.74
2022-09-29 21:13:00,13,91,22,6.09,6.11
2022-09-30 11:13:00,14,91,14,6.48,4.31
2022-09-30 12:13:00,13,91,15,6.19,8.35
2022-09-30 22:13:00,9,88,14,6.09,5.59
2022-10-01 10:14:00,16,92,12,6.28,5.16
2022-10-01 10:32:00,19,93,13,6.91,7.37
2022-10-01 22:33:00,9,88,20,6.68,6.78
2022-10-02 12:29:00,29,32,19,6.85,4.72
2022-10-02 13:29:00,23,40,18,6.78,8.25
2022-10-02 22:05:00,14,91,19,5.17,7.59
2022-10-03 10:05:00,16,92,15,5.87,3.37
2022-10-03 23:06:00,11,89,14,6.22,3.2
2022-10-04 10:06:00,12,90,13,6.02,3.2
2022-10-04 11:06:00,21,76,13,5.21,9.35
2022-10-04 23:26:00,8,88,16,7.0,6.02
2022-10-05 10:26:00,11,89,11,7.0,2.62
2022-10-05 11:26:00,15,91,12,7.0,5.4
2022-10-05 23:26:00,8,88,11,7.0,3.64
2022-10-06 00:26:00,9,88,11,7.0,6.36
2022-10-06 11:26:00,14,91,11,7.0,4.38
2022-10-06 21:06:00,11,89,11,6.6,4.31
2022-10-07 12:06:00,14,91,12,6.6,4.2
2022-10-07 13:06:00,20,67,12,5.54,5.13
2022-10-07 22:16:00,6,88,14,5.48,3.8
2022-10-08 11:16:00,34,29,12,5.18,1.25
2022-10-08 11:43:00,31,19,12,7.12,6.89
2022-10-08 21:58:00,7,88,15,5.17,6.27
2022-10-08 22:58:00,7,88,15,5.17,4.79
2022-10-10 12:45:00,25,34,14,4.88,0.91
2022-10-10 12:48:00,29,26,14,7.35,9.22
2022-10-10 21:24:00,9,88,18,6.95,3.28
2022-10-10 22:24:00,8,88,17,6.35,5.53
2022-10-11 12:21:00,10,88,11,6.69,0.7
2022-10-11 13:21:00,10,88,11,6.46,5.23
2022-10-11 17:21:00,17,92,12,6.38,4.98
2022-10-12 10:55:00,10,88,10,6.66,0.73
2022-10-12 11:55:00,12,90,11,6.47,7.7
2022-10-12 21:06:00,8,88,14,6.18,4.5
2022-10-13 12:23:00,29,45,11,6.08,3.4
2022-10-13 13:23:00,22,67,12,6.95,8.03
2022-10-13 21:23:00,10,88,16,6.46,1.77
2022-10-13 22:23:00,9,88,15,6.87,5.36
2022-10-14 10:23:00,15,91,14,6.63,3.2
2022-10-14 11:23:00,19,93,15,6.61,7.1
2022-10-14 20:23:00,14,82,21,6.58,2.88
2022-10-14 21:23:00,12,90,20,6.63,6.44
2022-10-15 13:54:00,37,23,20,6.67,1.45
2022-10-15 14:54:00,37,23,20,6.56,5.2
2022-10-15 20:54:00,13,67,21,6.7,3.2
2022-10-16 13:17:00,25,47,22,6.69,2.6
2022-10-16 13:27:00,20,71,23,6.6,6.99
2022-10-16 21:17:00,14,91,19,5.17,2.16
2022-10-16 22:27:00,16,92,15,5.87,7.3
2022-10-17 11:48:00,32,23,26,5.02,4.61
2022-10-17 11:50:00,30,32,27,6.75,10.78
2022-10-17 20:50:00,37,15,28,6.18,1.2
2022-10-17 21:50:00,24,76,27,6.67,6.06
2022-10-18 11:29:00,43,15,23,6.36,3.16
2022-10-18 12:29:00,42,14,25,6.88,6.05
2022-10-18 22:29:00,13,91,25,6.6,2.55
2022-10-18 23:29:00,13,91,22,6.05,6.06
2022-10-19 10:23:00,15,91,16,6.73,1.7
2022-10-19 11:23:00,15,91,16,7.19,5.7
2022-10-19 22:43:00,14,91,19,6.68,2.39
2022-10-19 23:43:00,14,91,19,7.0,6.3
2022-10-20 10:43:00,16,92,15,6.51,2.61
2022-10-20 11:43:00,16,92,17,6.68,5.55
2022-10-20 21:18:00,10,88,13,7.82,2.58
2022-10-20 22:18:00,10,88,14,6.37,5.93
2022-10-21 10:54:00,37,15,16,6.77,4.24
2022-10-21 11:54:00,36,13,17,7.0,12.31
2022-10-21 20:54:00,9,76,20,7.0,4.57
2022-10-21 21:56:00,8,88,19,7.0,9.73
2022-10-22 10:07:00,43,24,16,7.0,2.7
2022-10-22 11:08:00,53,21,20,7.0,4.89
2022-10-22 22:08:00,12,90,21,7.0,2.71
2022-10-22 23:08:00,11,89,20,7.0,6.04
2022-10-23 10:04:00,33,41,16,1.78,2.63
2022-10-23 12:04:00,22,29,16,7.0,8.36
2022-10-23 21:04:00,13,91,16,7.0,3.25
2022-10-23 22:04:00,12,90,16,7.0,9.46
2022-10-24 10:01:00,19,93,14,7.0,0.16
2022-10-24 11:01:00,19,93,14,7.0,6.02
2022-10-24 21:01:00,14,82,21,6.58,2.91
2022-10-24 22:01:00,12,90,20,6.63,7.09
2022-10-25 10:01:00,16,92,15,6.51,3.19
2022-10-25 11:01:00,16,92,17,6.68,8.13
2022-10-25 21:01:00,16,92,17,5.47,3.11
2022-10-25 22:01:00,13,91,16,7.0,9.18
2022-10-26 10:01:00,29,73,25,1.17,4.53
2022-10-26 11:01:00,28,72,25,7.0,12.26
2022-10-26 21:57:00,11,89,20,6.67,7.48
2022-10-26 22:57:00,11,89,20,6.7,10.48
2022-10-27 09:57:00,10,88,15,6.27,4.08
2022-10-27 10:57:00,15,91,15,6.67,8.25
2022-10-27 21:57:00,11,89,12,6.09,5.19
2022-10-27 22:57:00,11,89,12,6.39,9.36
2022-10-28 09:57:00,10,88,11,7.0,5.56
2022-10-28 10:57:00,11,89,11,7.0,11.28
2022-10-28 21:57:00,10,88,11,6.93,6.32
2022-10-28 22:57:00,9,88,11,6.92,10.85
2022-10-29 09:57:00,10,86,10,7.0,8.21
2022-10-29 10:57:00,10,86,10,6.38,11.81
2022-10-29 21:58:00,8,88,9,6.82,4.89
2022-10-29 22:58:00,6,88,9,6.76,10.84
2022-10-30 09:58:00,9,88,9,6.7,6.39
2022-10-30 10:58:00,21,94,15,7.0,12.87
2022-10-30 21:58:00,8,78,14,6.06,4.21
2022-10-30 22:58:00,7,88,13,6.85,11.83
2022-10-31 09:58:00,8,88,10,6.65,5.92
2022-10-31 10:58:00,13,91,12,6.06,9.69
2022-10-31 20:59:00,10,68,16,7.0,2.72
2022-10-31 21:59:00,10,68,16,7.0,9.11
2022-11-01 10:59:00,29,85,17,6.16,3.12
2022-11-01 11:59:00,29,84,16,6.44,8.82
2022-11-01 21:59:00,12,90,17,7.0,1.08
2022-11-01 22:59:00,11,89,17,7.0,7.24
2022-11-02 09:59:00,14,91,13,6.56,0.13
2022-11-02 11:02:00,14,91,13,7.0,10.47
2022-11-02 22:05:00,14,80,20,7.0,0.0
2022-11-02 23:05:00,14,80,20,7.0,10.15
2022-11-03 10:05:00,35,26,18,7.0,1.64
2022-11-03 11:05:00,35,26,18,6.67,13.06
2022-11-03 21:05:00,21,81,23,6.59,3.27
2022-11-03 22:05:00,17,92,23,7.0,10.9
2022-11-04 09:06:00,13,91,16,7.0,1.51
2022-11-04 10:06:00,14,91,16,6.6,10.06
2022-11-04 22:06:00,14,91,17,6.16,0.12
2022-11-04 23:06:00,14,91,17,6.26,9.06
2022-11-05 11:06:00,15,91,17,7.0,1.82
2022-11-05 12:06:00,16,92,17,6.27,11.7
2022-11-05 22:03:00,15,91,16,7.0,3.58
2022-11-05 23:03:00,14,91,16,7.0,12.6
2022-11-06 10:42:00,19,93,16,6.82,6.14
2022-11-06 11:42:00,20,93,16,6.89,10.39
2022-11-06 21:56:00,14,91,17,7.0,1.54
2022-11-06 22:56:00,13,91,17,6.72,8.14
2022-11-07 09:56:00,14,91,15,7.0,1.42
2022-11-07 10:56:00,29,37,15,6.77,7.26
2022-11-07 21:56:00,18,93,19,6.6,0.0
2022-11-07 22:56:00,15,91,19,7.0,6.9
2022-11-08 09:56:00,30,49,22,6.67,0.0
2022-11-08 10:56:00,30,49,22,6.71,8.46
2022-11-08 21:30:00,15,91,20,6.96,0.8
2022-11-08 22:30:00,15,91,20,7.0,6.28
2022-11-09 10:30:00,17,92,16,7.0,0.49
2022-11-09 11:30:00,17,92,16,7.69,5.31
2022-11-09 22:30:00,15,91,16,7.0,3.42
2022-11-09 23:30:00,14,91,16,7.8,8.81
2022-11-10 11:30:00,17,92,15,7.0,2.85
2022-11-10 12:30:00,20,93,15,6.89,15.0
2022-11-10 21:30:00,15,91,16,7.0,8.69
2022-11-10 22:30:00,14,91,16,7.1,14.28
2022-11-11 10:31:00,16,92,16,7.0,5.23
2022-11-11 11:31:00,16,92,16,6.69,10.62
2022-11-11 21:31:00,14,91,15,6.69,3.89
2022-11-11 22:31:00,13,91,15,7.78,8.35
2022-11-12 10:31:00,15,91,16,6.27,2.9
2022-11-12 11:31:00,17,92,16,6.76,9.42
2022-11-12 21:31:00,13,91,14,6.78,2.28
2022-11-12 22:31:00,13,91,14,7.0,11.79
2022-11-13 10:31:00,28,73,22,6.8,4.86
2022-11-13 11:31:00,20,93,22,7.0,12.78
2022-11-13 21:32:00,14,91,16,6.8,1.68
2022-11-13 22:32:00,13,91,16,7.0,12.11
2022-11-14 10:32:00,14,91,15,7.0,3.51
2022-11-14 11:32:00,16,92,15,6.72,8.53
2022-11-14 20:32:00,18,93,20,6.88,2.76
2022-11-14 21:32:00,16,92,20,6.86,10.18
2022-11-15 10:32:00,16,92,15,7.0,3.75
2022-11-15 11:32:00,22,95,16,7.0,9.31
2022-11-15 21:32:00,15,91,18,6.17,2.97
2022-11-15 22:32:00,14,91,18,6.27,13.61
2022-11-16 09:32:00,14,91,17,6.77,5.12
2022-11-16 10:32:00,24,95,20,6.58,12.75
